2021-10-19 08:43:54,830 | 3971 | tracing_of_pipeline.analyzer, _polling, 375 | DEBUG | polled repository (start_time=1634633018.567661, until=7) values = {'l2': [], 'l1': [], 'l3': []} {} {'s1': [], 's2': []}
2021-10-19 08:43:54,831 | 3971 | tracing_of_pipeline.analyzer, analyze, 159 | WARNING | No packet in edge l2
2021-10-19 08:43:54,832 | 3971 | tracing_of_pipeline.analyzer, analyze, 159 | WARNING | No packet in edge l1
2021-10-19 08:43:54,833 | 3971 | tracing_of_pipeline.analyzer, analyze, 159 | WARNING | No packet in edge l3
2021-10-19 08:43:54,836 | 4121 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634633034.695701 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-19 08:43:54,860 | 4121 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-19 08:43:54,963 | 4114 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634633034.948521 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
2021-10-19 08:43:55,028 | 4114 | tracing_net.flowtable.flow_monitor, read_dump_flow, 83 | WARNING | No result dump flows
2021-10-19 08:43:55,591 | 4121 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s2
2021-10-19 08:43:55,592 | 4114 | tracing_net.flowtable.flow_monitor, dump_flows, 57 | DEBUG | exec dump flows on s1
2021-10-19 08:43:55,799 | 4114 | tracing_net.flowtable.flow_monitor, read_dump_flow, 74 | DEBUG | get result for dump flows 1634633035.632319 : ['OFPST_FLOW reply (OF1.3) (xid=0x2):']
